TITLE,AUTHORS,VENUE,BIBTEX,YEAR,PROJECTS_EXACT,PROJECT_CATEGORIES,NODES_EXACT,NODES_CATEGORIES,DATASOURCES,CITATIONS,CATEGORY,SUBCATEGORY
 A social network based study of software team dynamics,Subhajit Datta;Vikrant Kaulgud;Vibhu S. Sharma;Nishant Kumar,ISEC,datta2010social,2010,1,1,12,11-100,ITS,23,Developer Roles,Identification
A Comparison of Evaluation Networks and Collaboration Networks in Open Source Software Communities,Daning Hu;J. Leon Zhao,AMCIS,hu2008comparison,2008,1,1,3451,1001-10000,Other,14,Community Structure,General
A method for analyzing stakeholders’ influence on an open source software ecosystem’s requirements engineering process,Johan Linake;Björn Regnell;Daniela Damian,RE,linaaker2019method,2019,1,1,122,101-1000,ITS;VCS,2,Community Structure,General
A quantitative study of social organisation in open source software communities,Marcelo S. Zanetti;Emre Sarigol;Ingo Scholtes;Claudio J. Tessone;Frank Schweitzer,ICCSW,zanetti2012quantitative,2012,14,11-100,262.6578571,101-1000,ITS,18,Community Structure,General
A Social Network Approach to Free/Open Source Software Simulation,Patrick A. Wagstrom;James D. Herbsleb;Kathleen M. Carley,OSS,wagstrom2005social,2005,Missing,Missing,Missing,Missing,ML;Other,58,Community Structure,General
A Social Network perspective of Conway’s Law,Chintan Amrit;Jos Hillegersberg;Kuldeep Kumar,CSCW,amrit2004social,2004,NA,NA,NA,NA,Other,17,Community Structure,General
A tool for the analysis of social networks in collaborative software development,Michael Schwind;Andreas Schenk;Michael Schneider,HICSS,schwind2010tool,2010,NA,NA,NA,NA,VCS,13,Tools,Tools
A Topological Analysis of the Open Source Software Development Community,Jin Xu;Yongqin Gao;Scott Christley;Gregory Madey,HICSS,xu2005topological,2005,> 65000,>100,161961,>100000,Forge,198,Community Structure,General
Accelerating cross-project knowledge collaboration using collaborative filtering and social networks,Masao Ohira;Naoki Ohsugi;Tetsuya Ohoka;Ken-ichi Matsumoto,MSR,ohira2005accelerating,2005,90000,>100,130000,>100000,Forge,94,Tools,Tools
Actor centrality correlates to project based coordination,Liaquat Hossain;Andre Wu;Kenneth K.S. Chung,CSCW,hossain2006actor,2006,1,1,712,101-1000,ML,93,Prediction,Developers for Tasks in General
All-for-one and one-for-all?: a multi-level analysis of communication patterns and individual performance in geographically distributed software development,Kate Ehrlich;Marcelo Cataldo,CSCW,ehrlich2012all,2012,1,1,161,101-1000,ITS,56,Community Structure,Global SWE
An Automated Bug Triage Approach: A Concept Profile and Social Network Based Developer Recommendation,Tao Zhang;Byungjeong Lee,ICIC,zhang2012automated,2012,1,1,651,101-1000,ITS,28,Prediction,Bug Triage
An empirical study of FOSS developers patterns of contribution: Challenges for data linkage and analysis,Sulayman K. Sowe;Antonio Cerone;Dimitrios Settas,Science of Computer Programming,sowe2014empirical,2014,20,11-100,642,101-1000,ML;VCS,4,Community Structure,General
